,Phrase,Question,Lemma,Answer,D1,D2,D3,F_Answer,F_D1,F_D2,F_D3
407,He has a big bruise on his thigh.,He ... a big bruise on his thigh.,have,has,have,haved,having,3rd person singular present,infinitive,past tense,present participle
408,She has cramp in her calf.,She ... cramp in her calf.,have,has,have,having,haves,3rd person singular present,infinitive,present participle,3rd person singular present
409,She kicked him in the tibia.,She ... him in the tibia.,kick,kicked,kick,kicks,kicked,past tense,infinitive,3rd person singular present,past tense
410,His abdomen had to be opened to make the operation possible.,His abdomen ... to be opened to make the operation possible.,have,had,haved,having,have,past tense,past participle,present participle,infinitive
411,His abdomen had to be opened to make the operation possible.,His abdomen had to ... to make the operation possible.,open,be opened,opened,opened,opening,past participle,past participle,past tense,present participle
412,His abdomen had to be opened to make the operation possible.,His abdomen had to be opened to ... the operation possible.,make,make,makes,maked,make,infinitive,3rd person singular present,past tense,infinitive
413,His stomach pain went away quickly.,His stomach pain ... away quickly.,go,went,gos,goed,goed,past tense,3rd person singular present,past participle,past tense
414,Your intestines can be upset when you eat spicy food.,Your intestines can be upset when you ... spicy food.,eat,eat,eat,eated,eating,non-3rd person singular present,infinitive,past participle,present participle
415,He was given a liver transplant.,He ... a liver transplant.,give,was given,gives,gived,gived,past participle,3rd person singular present,past tense,past participle
416,He had a sunburnt three weeks ago and now his skin is peeling.,He ... a sunburnt three weeks ago and now his skin is peeling.,have,had,haved,having,have,past tense,past tense,present participle,infinitive
417,He had a sunburnt three weeks ago and now his skin is peeling.,He had a sunburnt three weeks ago and now his skin is ....,peel,peeling,peeling,peeled,peel,present participle,present participle,past tense,infinitive
418,He was given a kidney transplant.,He ... a kidney transplant.,give,was given,gives,gived,give,past participle,3rd person singular present,past tense,infinitive
419,Bacterias enter the bladder when you suffer from a urinary infection.,Bacterias ... the bladder when you suffer from a urinary infection.,enter,enter,entered,entering,enters,infinitive,past tense,present participle,3rd person singular present
420,Bacterias enter the bladder when you suffer from a urinary infection.,Bacterias enter the bladder when you ... from a urinary infection.,suffer,suffer,suffers,suffer,suffered,non-3rd person singular present,3rd person singular present,infinitive,past tense
421,You should pay more attention to your back if you do not want to end up with a cane.,You should ... more attention to your back if you do not want to end up with a cane.,pay,pay,pays,payed,payed,infinitive,3rd person singular present,past tense,past participle
422,You should pay more attention to your back if you do not want to end up with a cane.,You should pay more attention to your back if you do not ... to end up with a cane.,want,want,want,wants,wanting,infinitive,infinitive,3rd person singular present,present participle
423,You should pay more attention to your back if you do not want to end up with a cane.,You should pay more attention to your back if you do not want to ... up with a cane.,end,end,ended,end,ends,infinitive,past tense,infinitive,3rd person singular present
424,Her belly has been hurting since this morning.,Her belly has been ... since this morning.,hurt,hurting,hurting,hurt,hurts,present participle,present participle,infinitive,3rd person singular present
425,Bones contain large amounts of calcium.,Bones ... large amounts of calcium.,contain,contain,contained,containing,contained,non-3rd person singular present,past participle,present participle,past tense
426,Fat mostly pile up during winter.,Fat mostly ... up during winter.,pile,pile,piles,pile,piling,non-3rd person singular present,3rd person singular present,infinitive,present participle
427,He has thin but strong muscles.,He ... thin but strong muscles.,have,has,haved,have,haves,3rd person singular present,past participle,infinitive,3rd person singular present
428,The way brain works is a highly researched subject.,The way brain works is a highly ... subject.,research,researched,researched,researches,researched,past participle,past tense,3rd person singular present,past participle
429,He underwent an operation to change sex.,He ... an operation to change sex.,undergo,underwent,undergoed,undergoing,undergoed,past tense,past participle,present participle,past tense
430,He underwent an operation to change sex.,He underwent an operation to ... sex.,change,change,changing,changed,changed,infinitive,present participle,past participle,past tense
431,He gives his blood on a regular basis.,He ... his blood on a regular basis.,give,gives,gives,gived,gived,3rd person singular present,3rd person singular present,past participle,past tense
432,He had had a lung radio.,He ... ... a lung radio.,have,had,have,having,haved,past participle,infinitive,present participle,past participle
433,Heart beats can be heard thanks to a stethoscope.,Heart beats ... thanks to a stethoscope.,hear,can be heard,hears,heared,heared,past participle,3rd person singular present,past participle,past tense
434,Arteries bring oxygened blood to organs.,Arteries ... oxygened blood to organs.,bring,bring,bringed,bringed,bringing,non-3rd person singular present,past participle,past tense,present participle
435,Arteries bring oxygened blood to organs.,Arteries bring ... blood to organs.,oxygen,oxygened,oxygen,oxygened,oxygening,past participle,infinitive,past tense,present participle
436,He gave her a kiss on the cheek.,He ... her a kiss on the cheek.,give,gave,gived,gived,gives,past tense,past participle,past tense,3rd person singular present
437,He has been growing his beard for weeks.,He has been ... his beard for weeks.,grow,growing,grow,growed,growed,present participle,infinitive,past participle,past tense
438,He is growing his mustache.,He is ... his mustache.,grow,growing,grows,grow,growed,present participle,3rd person singular present,infinitive,past tense
439,She has very long eyelashes.,She ... very long eyelashes.,have,has,haved,haved,haves,3rd person singular present,past participle,past tense,3rd person singular present
440,He raised eyebrows out of disdain.,He ... eyebrows out of disdain.,raise,raised,raising,raises,raise,past tense,present participle,3rd person singular present,infinitive
441,The marketing strategy is to be rethinked.,The marketing strategy ... to be rethinked.,be,is,bing,bed,bes,3rd person singular present,present participle,past participle,3rd person singular present
442,The marketing strategy is to be rethinked.,The marketing strategy is to ....,rethink,be rethinked,rethinked,rethinks,rethink,past participle,past participle,3rd person singular present,infinitive
443,Sales are taking a nose dive this month.,Sales are ... a nose dive this month.,take,taking,take,taking,taked,present participle,infinitive,present participle,past participle
444,Investments in Europe are plummeting.,Investments in Europe are ....,plummet,plummeting,plummeted,plummet,plummeting,present participle,past participle,infinitive,present participle
445,The meeting was postponed by the new director.,The meeting ... by the new director.,postpone,was postponed,postponed,postpones,postponing,past participle,past tense,3rd person singular present,present participle
446,We are looking for purchasers to buy the company.,We are ... for purchasers to buy the company.,look,looking,looked,looks,looking,present participle,past participle,3rd person singular present,present participle
447,We are looking for purchasers to buy the company.,We are looking for purchasers to ... the company.,buy,buy,buyed,buying,buys,infinitive,past participle,present participle,3rd person singular present
448,He got big discounts on this product.,He ... big discounts on this product.,get,got,getted,get,getting,past tense,past participle,infinitive,present participle
449,Business was affected by economic sanctions.,Business ... by economic sanctions.,affect,was affected,affecting,affected,affects,past participle,present participle,past tense,3rd person singular present
450,You cannot buy anything on retail in this company.,You cannot ... anything on retail in this company.,buy,buy,buys,buying,buyed,infinitive,3rd person singular present,present participle,past tense
451,An agreement has been found between the two companies.,An agreement ... between the two companies.,find,has been found,finding,finds,finded,past participle,present participle,3rd person singular present,past participle
452,Negociations have failed.,Negociations have ....,fail,failed,fail,fails,failed,past participle,infinitive,3rd person singular present,past tense
453,We have to agree on a schedule as soon as possible.,We ... to agree on a schedule as soon as possible.,have,have,having,haved,haved,non-3rd person singular present,present participle,past tense,past participle
454,We have to agree on a schedule as soon as possible.,We have to ... on a schedule as soon as possible.,agree,agree,agreeing,agreed,agreed,infinitive,present participle,past participle,past tense
455,His absence has been noticed.,His absence ....,notice,has been noticed,noticed,notice,noticed,past participle,past participle,infinitive,past tense
456,The presence of the CEO surprised the assembly.,The presence of the CEO ... the assembly.,surprise,surprised,surprised,surprised,surprise,past tense,past tense,past participle,infinitive
457,The lecture will start within a few minutes.,The lecture will ... within a few minutes.,start,start,starting,started,started,infinitive,present participle,past tense,past participle
458,The deadline has been postponed by one week.,The deadline ... by one week.,postpone,has been postponed,postponed,postponing,postpone,past participle,past tense,present participle,infinitive
459,Our objective is to conquer the market in less than two year.,Our objective ... to conquer the market in less than two year.,be,is,bed,bing,be,3rd person singular present,past participle,present participle,infinitive
460,Our objective is to conquer the market in less than two year.,Our objective is to ... the market in less than two year.,conquer,conquer,conquer,conquers,conquered,infinitive,infinitive,3rd person singular present,past tense
461,We have two propositions for you.,We ... two propositions for you.,have,have,haves,haved,have,non-3rd person singular present,3rd person singular present,past participle,infinitive
462,The shareholders approved this step unanimously.,The shareholders ... this step unanimously.,approve,approved,approve,approved,approving,past tense,infinitive,past participle,present participle
463,Our company must invest more into advertising.,Our company must ... more into advertising.,invest,invest,invested,invests,investing,infinitive,past tense,3rd person singular present,present participle
464,We are looking for a new advertising slogan.,We are ... for a new advertising slogan.,look,looking,looked,looked,looking,present participle,past participle,past tense,present participle
465,Borrowing now would be suicidal.,... now would be suicidal.,Borrow,Borrowing,Borrowed,Borrows,Borrowing,present participle,past participle,3rd person singular present,present participle
466,The debt crisis threatens European economy.,The debt crisis ... European economy.,threaten,threatens,threatened,threatening,threatened,3rd person singular present,past participle,present participle,past tense
467,He bankrupted himself by speculating.,He ... himself by speculating.,bankrupt,bankrupted,bankrupt,bankrupting,bankrupts,past tense,infinitive,present participle,3rd person singular present
468,He bankrupted himself by speculating.,He bankrupted himself by ....,speculate,speculating,speculate,speculating,speculates,present participle,infinitive,present participle,3rd person singular present
469,He got a loan from his bank.,He ... a loan from his bank.,get,got,getting,getted,get,past tense,present participle,past tense,infinitive
470,"The hearing went rather well, our lawyer had prepared the case.","The hearing ... rather well, our lawyer had prepared the case.",go,went,goed,goed,go,past tense,past tense,past participle,infinitive
471,"The hearing went rather well, our lawyer had prepared the case.","The hearing went rather well, our lawyer had ... the case.",prepare,prepared,prepared,prepares,preparing,past participle,past tense,3rd person singular present,present participle
472,Interns are often exploited.,Interns are often ....,exploit,exploited,exploits,exploiting,exploited,past participle,3rd person singular present,present participle,past tense
473,The accountant filed a complaint for sexual harassment.,The accountant ... a complaint for sexual harassment.,file,filed,filed,files,file,past tense,past participle,3rd person singular present,infinitive
474,The government does not manage to reduce inflation.,The government does not ... to reduce inflation.,manage,manage,managed,managing,manages,infinitive,past tense,present participle,3rd person singular present
475,The government does not manage to reduce inflation.,The government does not manage to ... inflation.,reduce,reduce,reduce,reduced,reduces,infinitive,infinitive,past participle,3rd person singular present
476,The central bank has reduced its rates.,The central bank has ... its rates.,reduce,reduced,reduced,reduces,reduce,past participle,past participle,3rd person singular present,infinitive
477,"It is a one-way street, we cannot drive this way.","It is a one-way street, we cannot ... this way.",drive,drive,drives,driving,drive,infinitive,3rd person singular present,present participle,infinitive
478,I lost myself in the alleys of Paris.,I ... myself in the alleys of Paris.,lose,lost,losing,loses,lose,past tense,present participle,3rd person singular present,infinitive
479,The avenue is blocked by an accident.,The avenue ... by an accident.,block,is blocked,blocks,blocked,blocking,past participle,3rd person singular present,past participle,present participle
480,You should turn at the next traffic light.,You should ... at the next traffic light.,turn,turn,turning,turn,turned,infinitive,present participle,infinitive,past tense
481,The sidewalk is to be redone.,The sidewalk ... to be redone.,be,is,bes,bing,bed,3rd person singular present,3rd person singular present,present participle,past participle
482,The sidewalk is to be redone.,The sidewalk is to ....,redo,be redone,redoed,redoed,redo,past participle,past tense,past participle,infinitive
483,Use the pedestrian crossing rather than crossing the road.,... the pedestrian crossing rather than crossing the road.,Use,Use,Uses,Used,Used,infinitive,3rd person singular present,past participle,past tense
484,Use the pedestrian crossing rather than crossing the road.,Use the pedestrian ... rather than ... the road.,cross,crossing,crosses,cross,crossing,present participle,3rd person singular present,infinitive,present participle
485,"I am stuck in the traffic jam, I am going to be late.","I ... in the traffic jam, I am going to be late.",stick,am stuck,sticking,stick,sticked,past participle,present participle,infinitive,past participle
486,"I am stuck in the traffic jam, I am going to be late.","I am stuck in the traffic jam, I am ... to be late.",go,going,going,goed,goed,present participle,present participle,past participle,past tense
487,There is a lot of traffic at night.,There ... a lot of traffic at night.,be,is,be,bed,bed,3rd person singular present,infinitive,past tense,past participle
488,The building might collapse.,The building might ....,collapse,collapse,collapsed,collapses,collapse,infinitive,past tense,3rd person singular present,infinitive
489,The shop was closed because of the demonstrations.,The shop ... because of the demonstrations.,close,was closed,closes,closed,closing,past participle,3rd person singular present,past tense,present participle
490,The sewers overflew once more.,The sewers ... once more.,overflew,overflew,overflewed,overflews,overflewed,non-3rd person singular present,past tense,3rd person singular present,past participle
491,The bookstore is closed during holidays.,The bookstore ... during holidays.,close,is closed,closed,closed,close,past participle,past tense,past participle,infinitive
492,He went to the butcher's shop.,He ... to the butcher's shop.,go,went,gos,goed,go,past tense,3rd person singular present,past participle,infinitive
493,Do you know if there is a duty chemist in the neighborhood?,Do you ... if there is a duty chemist in the neighborhood?,know,know,knowed,know,knowed,infinitive,past tense,infinitive,past participle
494,Do you know if there is a duty chemist in the neighborhood?,Do you know if there ... a duty chem...t in the neighborhood?,be,is,bes,bed,bing,3rd person singular present,3rd person singular present,past tense,present participle
495,The bank went bankrupt recently.,The bank ... bankrupt recently.,go,went,goed,going,go,past tense,past participle,present participle,infinitive
496,People can catch nosocomial infections in hospitals.,People can ... nosocomial infections in hospitals.,catch,catch,catch,catching,catched,infinitive,infinitive,present participle,past tense
497,The grocery could not compete with the hypermarket.,The grocery could not ... with the hypermarket.,compete,compete,competed,competing,competed,infinitive,past participle,present participle,past tense
498,"I am going to the market, I am coming back soon.","I am ... to the market, I am coming back soon.",go,going,going,goed,go,present participle,present participle,past participle,infinitive
499,"I am going to the market, I am coming back soon.","I am going to the market, I am ... back soon.",come,coming,comed,coming,come,present participle,past participle,present participle,infinitive
